Date:  13:14, Monday, July 10, 2023
Model name: Hollow_DropBox
Study name: DropTest_300fts(-Default-)
Plot type:  Displacement1
Plot step: 16   time : 83.9512 Microseconds
Result Type: URES 


Node  ,Value (in)  ,X (in)  ,Y (in)  ,Z (in)
804  ,2.471e-01   ,-2.5  ,0.6  ,0.1
805  ,2.504e-01   ,-2.5  ,0.4  ,0.1
806  ,2.535e-01   ,-2.5  ,0.2  ,0.1
807  ,2.564e-01   ,-2.5  ,5.8879E-16  ,0.1
808  ,2.590e-01   ,-2.5  ,-0.2  ,0.1
809  ,2.613e-01   ,-2.5  ,-0.4  ,0.1
810  ,2.629e-01   ,-2.5  ,-0.6  ,0.1
811  ,2.640e-01   ,-2.5  ,-0.8  ,0.1
812  ,2.649e-01   ,-2.5  ,-1  ,0.1
813  ,2.656e-01   ,-2.5  ,-1.2  ,0.1
814  ,2.663e-01   ,-2.5  ,-1.4  ,0.1
815  ,2.670e-01   ,-2.5  ,-1.6  ,0.1
816  ,2.676e-01   ,-2.5  ,-1.8  ,0.1
817  ,2.683e-01   ,-2.5  ,-2  ,0.1
818  ,2.691e-01   ,-2.5  ,-2.2  ,0.1
819  ,1.979e-01   ,-2.5  ,-2.4  ,4.7
820  ,2.094e-01   ,-2.5  ,-2.4  ,4.5
821  ,2.237e-01   ,-2.5  ,-2.4  ,4.3
822  ,2.386e-01   ,-2.5  ,-2.4  ,4.1
823  ,2.523e-01   ,-2.5  ,-2.4  ,3.9
824  ,2.638e-01   ,-2.5  ,-2.4  ,3.7
825  ,2.724e-01   ,-2.5  ,-2.4  ,3.5
826  ,2.782e-01   ,-2.5  ,-2.4  ,3.3
827  ,2.813e-01   ,-2.5  ,-2.4  ,3.1
828  ,2.820e-01   ,-2.5  ,-2.4  ,2.9
829  ,2.811e-01   ,-2.5  ,-2.4  ,2.7
830  ,2.793e-01   ,-2.5  ,-2.4  ,2.5
831  ,2.775e-01   ,-2.5  ,-2.4  ,2.3
832  ,2.764e-01   ,-2.5  ,-2.4  ,2.1
833  ,2.762e-01   ,-2.5  ,-2.4  ,1.9
834  ,2.770e-01   ,-2.5  ,-2.4  ,1.7
835  ,2.783e-01   ,-2.5  ,-2.4  ,1.5
836  ,2.795e-01   ,-2.5  ,-2.4  ,1.3
837  ,2.799e-01   ,-2.5  ,-2.4  ,1.1
838  ,2.794e-01   ,-2.5  ,-2.4  ,0.9
839  ,2.779e-01   ,-2.5  ,-2.4  ,0.7
840  ,2.753e-01   ,-2.5  ,-2.4  ,0.5
841  ,2.722e-01   ,-2.5  ,-2.4  ,0.3
842  ,2.232e-01   ,-2.5  ,2.2  ,4.9
843  ,2.213e-01   ,-2.5  ,2  ,4.9
844  ,2.195e-01   ,-2.5  ,1.8  ,4.9
845  ,2.178e-01   ,-2.5  ,1.6  ,4.9
846  ,2.163e-01   ,-2.5  ,1.4  ,4.9
847  ,2.151e-01   ,-2.5  ,1.2  ,4.9
848  ,2.141e-01   ,-2.5  ,1  ,4.9
849  ,2.129e-01   ,-2.5  ,0.8  ,4.9
850  ,2.114e-01   ,-2.5  ,0.6  ,4.9
851  ,2.101e-01   ,-2.5  ,0.4  ,4.9
852  ,2.088e-01   ,-2.5  ,0.2  ,4.9
853  ,2.075e-01   ,-2.5  ,5.8879E-16  ,4.9
854  ,2.064e-01   ,-2.5  ,-0.2  ,4.9
855  ,2.052e-01   ,-2.5  ,-0.4  ,4.9
856  ,2.040e-01   ,-2.5  ,-0.6  ,4.9
857  ,2.029e-01   ,-2.5  ,-0.8  ,4.9
858  ,2.019e-01   ,-2.5  ,-1  ,4.9
859  ,2.010e-01   ,-2.5  ,-1.2  ,4.9
860  ,1.998e-01   ,-2.5  ,-1.4  ,4.9
861  ,1.983e-01   ,-2.5  ,-1.6  ,4.9
862  ,1.966e-01   ,-2.5  ,-1.8  ,4.9
863  ,1.945e-01   ,-2.5  ,-2  ,4.9
864  ,1.925e-01   ,-2.5  ,-2.2  ,4.9
865  ,2.237e-01   ,-2.5  ,2.4  ,4.7
866  ,2.222e-01   ,-2.5  ,2.4  ,4.5
867  ,2.206e-01   ,-2.5  ,2.4  ,4.3
868  ,2.192e-01   ,-2.5  ,2.4  ,4.1
869  ,2.181e-01   ,-2.5  ,2.4  ,3.9
870  ,2.171e-01   ,-2.5  ,2.4  ,3.7
871  ,2.162e-01   ,-2.5  ,2.4  ,3.5
872  ,2.153e-01   ,-2.5  ,2.4  ,3.3
873  ,2.143e-01   ,-2.5  ,2.4  ,3.1
874  ,2.134e-01   ,-2.5  ,2.4  ,2.9
875  ,2.126e-01   ,-2.5  ,2.4  ,2.7
876  ,2.119e-01   ,-2.5  ,2.4  ,2.5
877  ,2.111e-01   ,-2.5  ,2.4  ,2.3
878  ,2.104e-01   ,-2.5  ,2.4  ,2.1
