Date:  12:50, Monday, July 10, 2023
Model name: Hollow_DropBox
Study name: DropTest_300fts(-Default-)
Plot type:  Stress1
Plot step: 6   time : 31.4708 Microseconds
Result Type: von Mises 


Node  ,Value (N/m^2)  ,X (in)  ,Y (in)  ,Z (in)
337  ,2.079e+08   ,2.5  ,-2.4  ,0.5
338  ,1.418e+08   ,2.5  ,-2.4  ,0.3
339  ,1.848e+08   ,2.5  ,-2.2  ,0.1
340  ,2.112e+08   ,2.5  ,-2  ,0.1
341  ,2.129e+08   ,2.5  ,-1.8  ,0.1
342  ,2.087e+08   ,2.5  ,-1.6  ,0.1
343  ,2.246e+08   ,2.5  ,-1.4  ,0.1
344  ,3.219e+08   ,2.5  ,-1.2  ,0.1
345  ,4.006e+08   ,2.5  ,-1  ,0.1
346  ,3.888e+08   ,2.5  ,-0.8  ,0.1
347  ,3.234e+08   ,2.5  ,-0.6  ,0.1
348  ,2.174e+08   ,2.5  ,-0.4  ,0.1
349  ,1.722e+08   ,2.5  ,-0.2  ,0.1
350  ,2.044e+08   ,2.5  ,-1.7664E-15  ,0.1
351  ,2.389e+08   ,2.5  ,0.2  ,0.1
352  ,3.982e+08   ,2.5  ,0.4  ,0.1
353  ,3.905e+08   ,2.5  ,0.6  ,0.1
354  ,4.227e+08   ,2.5  ,0.8  ,0.1
355  ,3.440e+08   ,2.5  ,1  ,0.1
356  ,2.841e+08   ,2.5  ,1.2  ,0.1
357  ,2.618e+08   ,2.5  ,1.4  ,0.1
358  ,2.850e+08   ,2.5  ,1.6  ,0.1
359  ,1.990e+08   ,2.5  ,1.8  ,0.1
360  ,2.131e+08   ,2.5  ,2  ,0.1
361  ,2.873e+08   ,2.5  ,2.2  ,0.1
362  ,1.013e+10   ,2.5  ,2.4  ,4.436
363  ,6.000e+09   ,2.5  ,2.4  ,4.2389
364  ,3.414e+09   ,2.5  ,2.4  ,4.0418
365  ,2.820e+09   ,2.5  ,2.4  ,3.8447
366  ,1.973e+09   ,2.5  ,2.4  ,3.6476
367  ,2.192e+09   ,2.5  ,2.4  ,3.4505
368  ,2.714e+09   ,2.5  ,2.4  ,3.2535
369  ,2.301e+09   ,2.5  ,2.4  ,3.0564
370  ,1.610e+09   ,2.5  ,2.4  ,2.8593
371  ,1.169e+09   ,2.5  ,2.4  ,2.6622
372  ,1.026e+09   ,2.5  ,2.4  ,2.4651
373  ,7.449e+08   ,2.5  ,2.4  ,2.268
374  ,6.161e+08   ,2.5  ,2.4  ,2.0709
375  ,4.150e+08   ,2.5  ,2.4  ,1.8738
376  ,4.069e+08   ,2.5  ,2.4  ,1.6767
377  ,1.817e+08   ,2.5  ,2.4  ,1.4796
378  ,1.712e+08   ,2.5  ,2.4  ,1.2825
379  ,2.801e+08   ,2.5  ,2.4  ,1.0855
380  ,4.335e+08   ,2.5  ,2.4  ,0.88836
381  ,5.369e+08   ,2.5  ,2.4  ,0.69127
382  ,5.086e+08   ,2.5  ,2.4  ,0.49418
383  ,3.111e+08   ,2.5  ,2.4  ,0.29709
384  ,1.252e+10   ,2.5  ,2.2665  ,4.7665
544  ,1.984e+08   ,2.2  ,2.5  ,0.1
545  ,1.715e+08   ,2  ,2.5  ,0.1
546  ,1.882e+08   ,1.8  ,2.5  ,0.1
547  ,2.178e+08   ,1.6  ,2.5  ,0.1
548  ,2.222e+08   ,1.4  ,2.5  ,0.1
549  ,2.811e+08   ,1.2  ,2.5  ,0.1
550  ,2.523e+08   ,1  ,2.5  ,0.1
551  ,3.391e+08   ,0.8  ,2.5  ,0.1
552  ,4.251e+08   ,0.6  ,2.5  ,0.1
553  ,2.571e+08   ,0.4  ,2.5  ,0.1
554  ,2.363e+08   ,0.2  ,2.5  ,0.1
555  ,2.264e+08   ,5.8879E-16  ,2.5  ,0.1
556  ,3.478e+08   ,-0.2  ,2.5  ,0.1
557  ,2.318e+08   ,-0.4  ,2.5  ,0.1
558  ,2.406e+08   ,-0.6  ,2.5  ,0.1
559  ,3.251e+08   ,-0.8  ,2.5  ,0.1
560  ,3.368e+08   ,-1  ,2.5  ,0.1
561  ,3.615e+08   ,-1.2  ,2.5  ,0.1
562  ,3.481e+08   ,-1.4  ,2.5  ,0.1
563  ,3.296e+08   ,-1.6  ,2.5  ,0.1
564  ,2.902e+08   ,-1.8  ,2.5  ,0.1
565  ,2.132e+08   ,-2  ,2.5  ,0.1
566  ,1.223e+08   ,-2.2  ,2.5  ,0.1
567  ,1.340e+08   ,-2.4  ,2.5  ,4.7
568  ,1.546e+08   ,-2.4  ,2.5  ,4.5
569  ,1.618e+08   ,-2.4  ,2.5  ,4.3
570  ,1.799e+08   ,-2.4  ,2.5  ,4.1
571  ,2.221e+08   ,-2.4  ,2.5  ,3.9
572  ,2.890e+08   ,-2.4  ,2.5  ,3.7
573  ,3.315e+08   ,-2.4  ,2.5  ,3.5
574  ,3.357e+08   ,-2.4  ,2.5  ,3.3
